account,sn,text,embed,uri,clean_uri,translated_text,label
sanmarcos.bsky.social,19.0,"❗️how russia managed to advance in pokrovsk: isw named the decisive factor

it took russian troops 21 months to advance 39 kilometers from avdiivka to pokrovsk. russia deployed between 170,000 and 220,000 troops to the pokrovsk direction.

t.me/dobropillya_...","images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=509197, ref=IpldLink(link='bafkreiauteu3quokzedu2zm5oct52bbhoh5mleygzg66gn77gba4eacuca'), py_type='blob'), aspect_ratio=AspectRatio(height=660, width=1200, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=633114, ref=IpldLink(link='bafkreic2263rhvrm5shpa7qxgp5a53zzyyaozzfywkvqzmpsdkpxucquxe'), py_type='blob'), aspect_ratio=AspectRatio(height=1405, width=969, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",t.me/dobropillya_...,dobropillya_...,"❗️how russia managed to advance in pokrovsk: isw named the decisive factor

it took russian troops 21 months to advance 39 kilometers from avdiivka to pokrovsk. russia deployed between 170,000 and 220,000 troops to the pokrovsk direction.

t.me/dobropillya_...",0.0
uaid.defenseofliberty.social.ap.brid.gy,38.0,"‼️uusi: 86 % pcr-positiivisista ""covid-tapauksista"" ei ollut todellisia tartuntoja uusi saksalainen tutkimus osoittaa, että pandemian alkuvaiheessa vain 14 % pcr-""covid-tapauksista"" oli todellisia – mikä osoittaa, että sulkutoimet ja rokotusmäärä...
https://t.me/uutishuone/1362476","external=External(description='‼️UUSI: 86 % PCR-positiivisista ""COVID-tapauksista"" ei ollut todellisia tartuntoja Uusi saksalainen tutkimus osoittaa, että pandemian alkuvaiheessa vain 14 % PCR-""COVID-tapauksista"" oli todellisia – mikä osoittaa, että sulkutoimet ja rokotusmääräykset perustuivat vilpilliseen testausilluusioon. PCR-teknologia ja testauskynnykset standardoitiin WHO:n jäsenvaltioissa. Tämä tarkoittaa, että sama vääristymä todennäköisesti tapahtui kaikkialla – systeeminen diagnostinen inflaatio, joka saattaa olla suurin yksittäinen petos kansanterveyden historiassa. Näitä taktiikoita käytettiin todennäköisesti pelon lisäämiseen sulkutoimien ja kokeellisten geenipohjaisten ""rokotteiden"" noudattamisen tehostamiseksi. Jälleen kerran me, foliohattufanit, olimme oikeassa. https://t.me/LauraAbolichannel', title='Uutishuone', uri='https://t.me/uutishuone/1362476', thumb=BlobRef(mime_type='image/jpeg', size=21431, ref=IpldLink(link='bafkreie46jseug2hpkdjcj3crppjpahjbgsycdqfeq6dqyht2kxiu7id5y'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/uutishuone/1362476,uutishuone,"‼️uusi: 86% of pcr-positive ""covid cases"" were not real infections new German study shows that in the early stages of the pandemic only 14% of pcr ""covid cases"" were real - indicating that containment and vaccination rates...
https://t.me/uutishuone/1362476",1.0
ulfh3dnar.bsky.social,11.0,"evening speech by president zelenskyy.

source: v_zelenskiy_official

t.me/ulfh3dnar/36...

#ukraine️ #zelenskyy #ukrainerussiawar #russia","external=External(description='Evening speech by President Zelenskyy.', title='Ulfh3dnar', uri='https://t.me/Ulfh3dnar/36946', thumb=BlobRef(mime_type='image/jpeg', size=560199, ref=IpldLink(link='bafkreigepji2c4wmtcdfd5q5czaymtndxpbhjrsjer2pkllp5s7n3oego4'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/Ulfh3dnar/36946,ulfh3dnar/36946,"evening speech by president zelenskyy.

source: v_zelenskiy_official

t.me/ulfh3dnar/36...

#ukraine️ #zelenskyy #ukrainerussiawar #russia",0.0
jucoka.truthsocial.co.in.ap.brid.gy,5.0,"https://t.me/leblorikzov/173642
❗στην ινδία, σύμφωνα με όλες τις ενδείξεις, σημειώθηκε τρομοκρατική επίθεση. στην πρωτεύουσα εξερράγησαν δύο σταθμευμένα αυτοκίνητα. το ινδικό πρακτορείο ειδήσεων ani αναφέρει πολλαπλά θύματα μετά από δύο ισχυρές εκρήξεις στην πύλη νο 1 του κόκκι...","external=External(description='❗Στην Ινδία, σύμφωνα με όλες τις ενδείξεις, σημειώθηκε τρομοκρατική επίθεση. Στην πρωτεύουσα εξερράγησαν δύο σταθμευμένα αυτοκίνητα. Το ινδικό πρακτορείο ειδήσεων ANI αναφέρει πολλαπλά θύματα μετά από δύο ισχυρές εκρήξεις στην Πύλη Νο 1 του Κόκκινου Φρουρίου στο Δελχί, η οποία θεωρείται πολύ πολυσύχναστη περιοχή.', title='@leblorik Z🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺', uri='https://t.me/leblorikzov/173642', thumb=BlobRef(mime_type='image/jpeg', size=10840, ref=IpldLink(link='bafkreiclztlqzwvpotvr4q7vfv7u57mcw5q3zkghufy42u2ghtfpwje7ce'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/leblorikzov/173642,leblorikzov,"https://t.me/leblorikzov/173642
❗In india, by all indications, there has been a terrorist attack. two parked cars exploded in the capital. the indian news agency ani reports multiple casualties after two powerful explosions at gate number 1 of the red...",0.0
realjournalism.merovingian.club.ap.brid.gy,35.0,"❗️ в ответ на террористические атаки украины по гражданским объектам на территории россии сегодня ночью вооруженными силами российской федерации нанесён групповой удар высокоточным оружием, в том числе гиперзвуковыми аэробаллистическими ракетами ...
https://t.me/ukr_2025_ru/277281","external=External(description='Главный по Украине Взаимный пиар https://t.me/ukr_2025_ruVP_bot Прислать новость: @RUkrainarubot Регистрация в Роскомнадзор: https://knd.gov.ru/license?id=67895a1c8e552d6b54c9e653®istryType;=bloggersPermission', title='Украина.ру', uri='https://t.me/ukr_2025_ru/277281', thumb=BlobRef(mime_type='image/jpeg', size=21361, ref=IpldLink(link='bafkreia64sd7el6bbus3f6ozn64p3f6gi5w5e7dz446cypkyyszz6z5kzq'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/ukr_2025_ru/277281,ukr_2025_ru,"❗️ in response to terrorist attacks by ukraine on civilian objects on the territory of russia tonight the armed forces of the russian federation launched a group strike with precision weapons, including hypersonic aeroballistic missiles ...
https://t.me/ukr_2025_ru/277281",1.0
rvps2001.vonhaller.social.ap.brid.gy,48.0,"https://t.me/novichok_rossiya_2/33447
ukrainian-russian war. day 1353: situation on novopavlovskaya front: during the last week #russian army made small advances at the southern part of novopavlivka. in addition, regarding ivanivka ukrainian army is regaining the initiative by ...","external=External(description='Ukrainian-Russian war. Day 1353: Situation on Novopavlovskaya front: During the last week Russian Army made small advances at the southern part of Novopavlivka. In addition, regarding Ivanivka Ukrainian Army is regaining the initiative by expelling Russian forces from the northern hills. In addition, Ukrainian forces infiltrated in the western part of the locality & is trying to consolidate the positions there. Map: [ https://www.google.com/maps/d/viewer?mid=1V8NzjQkzMOhpuLhkktbiKgodOQ27X6IV≪=48.09719300847094%2C36.71400817536733&z;=12 ]', title='Masnova', uri='https://t.me/Novichok_Rossiya_2/33447', thumb=BlobRef(mime_type='image/jpeg', size=15401, ref=IpldLink(link='bafkreidrceewix7e7iguwchs73nfyu6fdiwbljnpaawojjyrzdsdilf7yq'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/Novichok_Rossiya_2/33447,novichok_rossiya_2,"https://t.me/novichok_rossiya_2/33447
ukrainian-russian war. day 1353: situation on novopavlovskaya front: during the last week #russian army made small advances at the southern part of novopavlivka. in addition, regarding ivanivka ukrainian army is regaining the initiative by ...",1.0
wartranslated.bsky.social,8.0,"military expert ""flash"" stated that russia is striking ukraine with a new, even more dangerous type of ""shahed"" — with a warhead of 8–9 kg and a flight range of several hundred kilometers.
t.me/c/1836374264...","images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=512849, ref=IpldLink(link='bafkreifhoqu7nayvgvq3gdayrcxxiuu54r6tqgsn6in5vfgpxekogffzse'), py_type='blob'), aspect_ratio=AspectRatio(height=705, width=538, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=895638, ref=IpldLink(link='bafkreih2gulf6i5lrh7wguvkzswe4kmcgx5q4gaygx4cyibdu3jgubql3m'), py_type='blob'), aspect_ratio=AspectRatio(height=784, width=1280, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=683306, ref=IpldLink(link='bafkreid5cr2n7ruw5nvjo5i5p65ksb5gmvpa356r62wez6kwm5d3gkwi7m'), py_type='blob'), aspect_ratio=AspectRatio(height=1280, width=960, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",t.me/c/1836374264...,c/1836374264...,"military expert ""flash"" stated that russia is striking ukraine with a new, even more dangerous type of ""shahed"" — with a warhead of 8–9 kg and a flight range of several hundred kilometers.
t.me/c/1836374264...",0.0
meduza-unshackled.i.cancn.com.ap.brid.gy,29.0,"https://t.me/anlystintel/28016
⚡ unscheduled power outage disrupts #zelensky interview at mariinsky palace in #kiev. during an interview with the guardian at the mariinsky palace in kiev, the lights suddenly went out. it remains unclear whether this was a genuine power failure ...","external=External(description='⚡ Unscheduled Power Outage Disrupts Zelensky Interview at Mariinsky Palace in Kiev. During an interview with The Guardian at the Mariinsky Palace in Kiev, the lights suddenly went out. It remains unclear whether this was a genuine power failure or another staged act by Kiev’s leadership aimed at Western audiences. The incident adds to ongoing questions about the orchestration of Ukraine’s public image. t.me/ForeignAgentIntel', title='Analyst Intel', uri='https://t.me/Anlystintel/28016', thumb=BlobRef(mime_type='image/jpeg', size=13587, ref=IpldLink(link='bafkreifqj4tnejnkjj44erufqvlb6txplzeezh2vplusdscvbmaklxq66e'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/Anlystintel/28016,anlystintel,"https://t.me/anlystintel/28016
⚡ unscheduled power outage disrupts #zelensky interview at mariinsky palace in #kiev. during an interview with the guardian at the mariinsky palace in kiev, the lights suddenly went out. it remains unclear whether this was a genuine power failure ...",1.0
meduza-unshackled.i.cancn.com.ap.brid.gy,32.0,"#kiev sunday stroll. military commisars helping a future ukranian f-35 pilot choose his career path in the ukranian capital they go for the ""ambush the asperger syndrome loner"" strategy.
https://t.me/no_mainstreamw/71194","external=External(description='Kiev Sunday stroll. Military commisars helping a future Ukranian F-35 pilot choose his career path In the Ukranian capital they go for the ""ambush the asperger syndrome loner"" strategy. Freest country', title='☦️ 🇷🇴🇷🇺🇬🇧🅉 No Mainstream', uri='https://t.me/no_mainstreamW/71194', thumb=BlobRef(mime_type='image/jpeg', size=26539, ref=IpldLink(link='bafkreicl525ilmwbfwi36s7jztpnbeqk524uk5lmnhjnwgppb6lajlm2f4'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/no_mainstreamW/71194,no_mainstreamw,"#kiev sunday stroll. military commisars helping a future ukranian f-35 pilot choose his career path in the ukranian capital they go for the ""ambush the asperger syndrome loner"" strategy.
https://t.me/no_mainstreamw/71194",1.0
gice.glasgow.social.ap.brid.gy,7.0,"https://t.me/uutishuone/1362268
miinanraivaus zaporižžjassa novorossijskin vuoristolaskudivisioonan pioneerit ovat päivittäin etulinjassa tuhoamassa yli 50 vihollisen miinaa ja räjähtämätöntä ammusta zaporižžjan alueella. kamenskin suunnassa toimivat pioneerit raivaavat huolell...","external=External(description='Miinanraivaus Zaporižžjassa Novorossijskin vuoristolaskudivisioonan pioneerit ovat päivittäin etulinjassa tuhoamassa yli 50 vihollisen miinaa ja räjähtämätöntä ammusta Zaporižžjan alueella. Kamenskin suunnassa toimivat pioneerit raivaavat huolellisesti metsiä ja teitä varmistaen yksiköidensä turvallisen kulun ja pelastaen ihmishenkiä. He työskentelevät usein vihollisen tulen alla ja purkavat järjestelmällisesti Ukrainan joukkojen jättämiä vaaroja. Kaikki löydetyt ammukset ja räjähteet tuhotaan paikan päällä panoksilla, koska niiden irrottaminen ja kuljetus aiheuttavat merkittäviä riskejä. Yksi pioneeri voi tehdä toimintakyvyttömäksi kymmeniä räjähtämättömiä ammuksia vain yhdessä päivässä, mikä osoittaa heidän tärkeän roolinsa alueen turvaamisessa. 🌊 Liity Military Wave -joukkoihin', title='Uutishuone', uri='https://t.me/uutishuone/1362268', thumb=BlobRef(mime_type='image/jpeg', size=15073, ref=IpldLink(link='bafkreiaeziv73gaxofshtk2rpqrat27b7lsoygwj6apuexyzm7hv33rvoa'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/uutishuone/1362268,uutishuone,"https://t.me/uutishuone/1362268
mine clearance in zaporizhzhya the engineers of the novorossiysk mountain division are on the front line every day destroying more than 50 enemy mines and unexploded ordnance in the zaporizhzhya region. the engineers, operating in the kamensk direction, are carefully clearing the...",1.0
vaxue.mastodon.de.ap.brid.gy,10.0,"https://t.me/llordofwar/528522
""saboteurs"" blew up the railway line through which western military aid is being delivered to ukraine,"" said polish prime minister donald tusk... why ""saboteurs"" right away, donald? they are partisans. 👆","external=External(description='""Saboteurs"" blew up the railway line through which Western military aid is being delivered to Ukraine,"" said Polish Prime Minister Donald Tusk... Why ""saboteurs"" right away, Donald? They are PARTISANS. 👆', title='Lord Of War', uri='https://t.me/llordofwar/528522', thumb=BlobRef(mime_type='image/jpeg', size=22873, ref=IpldLink(link='bafkreicvedzciju3fwplrqkchhywdqoscjcdsgcpwsacrubwghjpuwfr3i'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/llordofwar/528522,llordofwar/528522,"https://t.me/llordofwar/528522
""saboteurs"" blew up the railway line through which western military aid is being delivered to ukraine,"" said polish prime minister donald tusk... why ""saboteurs"" right away, donald? they are partisans. 👆",0.0
sanmarcos.bsky.social,3.0,"russia attacked the lozova community, kharkiv oblast, with four drones. there is damage to critical infrastructure and heating problems, — mayor
🤬
t.me/kharkivlife/...","images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=628685, ref=IpldLink(link='bafkreih5nqeox5ui56b5vio2w5srhdgbp5r4rl43g3mxbu4yxiaj2vadta'), py_type='blob'), aspect_ratio=AspectRatio(height=1280, width=960, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=930557, ref=IpldLink(link='bafkreiaz7hvf5f4whz2yrq7ssular35i7gezp5ioyklfbjjk2fiofp5wym'), py_type='blob'), aspect_ratio=AspectRatio(height=1280, width=960, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=821110, ref=IpldLink(link='bafkreiajgjljgqxdmkwdjp22kufn6ghpycscdilhom7fqpy2jbixpuowmq'), py_type='blob'), aspect_ratio=AspectRatio(height=1280, width=960, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=805542, ref=IpldLink(link='bafkreidpzzs65lsjyx2xiuovzvpza6jdusudp3pzzlacodo7wl4exugx7m'), py_type='blob'), aspect_ratio=AspectRatio(height=1280, width=960, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",t.me/kharkivlife/...,kharkivlife/...,"russia attacked the lozova community, kharkiv oblast, with four drones. there is damage to critical infrastructure and heating problems, — mayor
🤬
t.me/kharkivlife/...",0.0
